,0,1,2,3,4
0,3.4,15.9832,-96.9505,25.8,0.0
1,3.5,16.6938,-95.1257,94.8,211.0
2,3.8,15.5425,-92.4787,187.6,2679.0
3,3.5,16.0508,-97.1588,26.3,2952.0
4,3.6,17.173,-94.979,121.0,3482.0
5,4.3,15.782,-94.9405,16.1,7140.0
6,3.6,17.3505,-94.5152,136.2,8449.0
7,3.7,16.3592,-93.7075,64.4,8628.0
8,3.6,16.2487,-95.7268,47.4,9368.0
9,4.0,15.2395,-96.6972,16.0,9565.0
10,3.6,15.7627,-95.5065,41.5,11426.0
11,3.5,15.729000000000001,-95.4693,37.9,16193.0
12,3.5,16.7268,-93.7705,148.9,17023.0
13,4.4,15.5892,-93.3158,100.3,26256.0
14,3.5,15.6448,-97.1558,5.0,27668.0
15,3.8,15.4118,-92.0867,176.6,27860.0
16,3.8,17.1762,-95.5993,104.0,33572.0
17,3.5,15.5083,-92.9417,93.0,41242.0
18,3.4,17.4882,-94.7602,124.5,51897.0
19,3.4,15.8245,-94.3948,63.7,54912.0
20,3.6,16.0108,-96.1248,75.8,56983.0
21,4.0,15.1607,-95.2662,24.8,67194.0
22,3.9,17.4532,-94.2973,171.5,68564.0
23,3.7,14.515,-93.1547,50.0,79215.0
24,3.9,18.2403,-94.586,37.6,86675.0
25,3.5,15.0235,-92.9062,93.7,90697.0
26,3.9,16.6765,-95.0468,90.9,94088.0
27,3.7,16.4922,-96.3337,60.3,95895.0
28,4.1,14.834000000000001,-92.5097,105.8,95927.0
29,3.4,16.9912,-94.2237,127.0,102148.0
30,3.8,15.0772,-93.5682,44.4,102797.0
31,3.7,15.8785,-94.9462,33.1,104098.0
32,3.5,16.9285,-94.874,115.4,106253.0
33,3.9,16.9325,-95.45700000000001,97.2,106501.0
34,3.7,16.406,-95.8575,52.8,115163.0
35,3.4,16.8495,-94.9653,112.7,115707.0
36,3.6,15.068,-96.65799999999999,14.9,116000.0
37,3.4,17.0887,-95.3655,101.8,129616.0
38,3.7,16.765,-95.1768,54.9,137688.0
39,3.6,15.8593,-93.5065,94.4,138885.0
40,4.1,17.589000000000002,-94.5665,159.4,144839.0
41,4.2,16.2428,-95.7743,69.5,150030.0
42,3.7,14.9825,-93.97399999999999,17.2,152817.0
43,3.2,16.0968,-97.1862,27.0,161483.0
44,3.7,17.6902,-94.7898,48.0,170614.0
45,3.9,16.054000000000002,-94.0123,96.4,173161.0
46,3.9,15.5337,-95.9895,3.3,174735.0
47,3.6,17.409000000000002,-94.47200000000001,156.6,184965.0
48,3.2,16.0562,-96.04,64.4,188326.0
49,3.6,15.5618,-95.0345,16.0,198628.0
50,3.9,14.9882,-93.0963,64.2,200896.0
51,3.8,15.0408,-94.1427,10.9,202212.0
52,4.0,14.0988,-92.9815,11.3,203503.0
53,3.7,15.5745,-93.2737,106.2,205827.0
54,4.1,18.32,-93.03200000000001,59.6,212247.0
55,3.6,16.2252,-95.0968,47.5,216461.0
56,3.9,14.8203,-93.11,18.8,218566.0
57,3.8,15.7675,-92.6333,173.3,221779.0
58,3.6,15.9733,-96.536,30.1,225068.0
59,3.5,16.0745,-95.5108,16.1,228335.0
60,3.6,15.5465,-95.7017,16.8,228480.0
61,3.8,17.0742,-94.4433,138.0,232964.0
62,3.9,15.172,-93.01799999999999,99.4,240785.0
63,3.7,15.0412,-92.8295,65.9,247105.0
64,4.5,15.6733,-95.6177,34.5,254012.0
65,4.0,16.4417,-93.6923,80.6,259545.0
66,4.0,15.062000000000001,-92.3217,137.9,262249.0
67,3.3,16.1042,-97.2118,34.9,263509.0
68,3.6,17.421,-94.6602,141.3,264613.0
69,3.6,16.733,-95.3083,83.9,266099.0
70,4.2,15.1263,-93.8287,17.1,266977.0
71,3.5,16.9847,-94.6848,12.2,268007.0
72,3.9,14.945,-92.8197,95.8,270635.0
73,3.3,17.011,-94.8118,113.4,270712.0
74,3.8,16.2632,-96.2967,27.4,281888.0
75,4.2,13.7317,-92.1535,17.0,288474.0
76,3.8,15.554,-93.7705,83.7,290710.0
77,3.6,16.0498,-95.575,27.3,306747.0
78,3.7,17.463,-94.7977,141.7,309741.0
79,3.9,15.9467,-95.1628,40.5,310048.0
80,4.3,17.2528,-94.5242,138.7,323817.0
81,3.8,16.2095,-94.37,86.2,342220.0
82,3.4,16.624000000000002,-94.1522,119.5,344818.0
83,3.6,16.6962,-94.525,106.6,346484.0
84,3.8,15.6443,-92.9037,121.7,356071.0
85,3.3,17.6805,-93.8133,16.1,358000.0
86,4.0,14.735999999999999,-94.5538,19.7,361605.0
87,3.7,15.7965,-94.1908,16.3,361670.0
88,3.6,15.9523,-95.7562,64.4,367642.0
89,3.5,16.3633,-93.7073,71.3,371704.0
90,3.6,16.5453,-96.367,32.0,381543.0
91,3.1,15.9325,-97.1207,15.1,385108.0
92,3.8,17.0215,-94.17299999999999,137.7,389389.0
93,4.6,14.8533,-94.236,16.0,391882.0
94,4.0,14.8352,-94.2668,15.0,392401.0
95,3.9,17.3988,-94.9567,133.6,407064.0
96,4.0,15.6898,-94.2448,67.2,416510.0
97,3.5,17.4302,-94.5372,140.9,418382.0
98,3.3,16.139,-97.2168,35.4,421260.0
99,3.6,16.4393,-93.6917,76.5,440231.0
100,3.3,16.2108,-97.2188,34.1,440433.0
101,3.4,16.371,-93.7095,70.1,450406.0
102,3.9,15.7807,-93.7927,95.9,450630.0
103,4.1,17.2003,-94.5812,132.3,462893.0
104,4.2,15.1158,-93.2462,30.0,484809.0
105,3.6,16.0142,-94.5302,73.2,490808.0
106,4.1,14.2457,-92.6235,11.8,503812.0
107,4.7,14.8583,-94.1578,24.8,520749.0
108,3.8,14.7753,-94.1315,16.3,524620.0
109,3.5,15.9592,-95.855,68.4,526240.0
110,3.5,15.6108,-96.406,22.1,527075.0
111,3.7,16.8843,-94.9513,117.3,527553.0
112,3.6,15.8658,-94.9578,16.0,529983.0
113,3.7,16.373,-95.3808,29.2,531339.0
114,3.5,16.7488,-95.0397,98.6,532080.0
115,3.5,15.9208,-96.8205,39.6,544142.0
116,3.8,15.5748,-93.6012,72.8,547350.0
117,3.6,16.8787,-94.8192,109.6,548698.0
118,3.6,16.8858,-93.8227,159.8,551461.0
119,4.0,16.6265,-94.8195,105.1,551714.0
120,3.6,16.8052,-94.18,128.9,557497.0
121,3.4,16.0272,-96.9675,32.1,561171.0
122,3.8,15.3552,-93.1283,59.4,562331.0
123,3.5,15.9295,-96.9795,24.2,565671.0
124,3.4,15.9142,-96.9868,9.2,566702.0
125,3.3,15.8565,-96.9933,6.7,566826.0
126,3.8,17.3117,-94.8717,129.5,568377.0
127,3.9,15.7755,-95.697,31.4,572632.0
128,4.1,15.6297,-93.501,93.6,574194.0
129,3.4,15.845,-97.1733,15.7,579023.0
130,3.7,15.9188,-95.9837,65.2,581719.0
131,3.6,16.7935,-93.8643,163.7,582437.0
132,3.5,17.143,-95.3595,63.2,583893.0
133,8.2,14.761,-94.103,45.9,598981.0
134,4.1,15.477,-94.8713,30.9,599723.0
135,4.7,15.5257,-94.8128,26.8,600685.0
136,4.3,15.8773,-94.7755,48.9,600884.0
137,4.2,15.3785,-94.7035,10.1,601101.0
138,3.1,15.8047,-94.9717,71.3,601360.0
139,3.9,15.6135,-94.8827,31.7,601378.0
140,3.3,16.658,-93.99700000000001,97.7,601522.0
141,4.6,15.3865,-94.6122,3.9,601640.0
142,3.9,15.3262,-94.7288,12.5,601843.0
143,4.4,15.537,-94.8537,16.1,602292.0
144,4.1,15.8073,-94.9573,69.9,602564.0
145,4.0,15.6698,-94.6578,17.0,602651.0
146,4.0,15.1798,-94.4933,20.0,603045.0
147,3.9,15.7132,-94.9247,16.5,603197.0
148,3.8,15.3607,-94.6987,16.3,603382.0
149,3.9,15.3957,-94.6867,16.2,603534.0
150,3.8,15.3212,-94.6443,16.1,603600.0
151,3.7,15.4742,-94.7285,16.1,603664.0
152,3.8,15.3575,-94.7942,20.0,603751.0
153,3.6,15.6202,-94.8878,68.5,603929.0
154,4.1,14.9977,-94.2835,17.4,604015.0
155,3.5,15.1348,-94.5113,16.5,604088.0
156,3.8,15.3895,-94.7095,16.2,604151.0
157,3.9,15.972000000000001,-95.2953,58.6,604286.0
158,3.6,15.6197,-95.1565,63.0,604387.0
159,3.9,15.0148,-94.4663,30.0,604576.0
160,3.5,15.1915,-94.4263,50.0,604719.0
161,4.9,15.4098,-94.7075,13.3,604802.0
162,3.7,15.5125,-94.8383,25.4,605743.0
163,3.7,15.4853,-94.791,13.1,605881.0
164,3.6,14.8635,-94.2627,16.2,606294.0
165,3.7,16.9258,-95.5665,177.4,606329.0
166,3.5,15.8252,-95.0838,55.6,606509.0
167,3.8,15.6712,-94.9215,56.8,606583.0
168,3.9,16.4107,-95.0408,109.3,606754.0
169,4.2,15.3095,-94.7477,10.7,607036.0
170,3.6,15.3273,-94.6898,13.7,607466.0
171,3.8,15.7173,-94.9067,62.8,607797.0
172,4.0,14.8657,-94.3373,62.3,607902.0
173,3.9,15.1352,-94.7708,16.2,607953.0
174,4.0,15.4512,-94.85,26.8,608057.0
175,3.9,15.7163,-95.0073,16.4,608093.0
176,4.1,15.8517,-95.0122,85.0,608662.0
177,4.0,15.2883,-94.7178,19.3,609140.0
178,3.8,15.5472,-94.8418,15.0,609239.0
179,3.8,15.8698,-94.9922,79.1,609316.0
